Task,comment,inline,javadoc,multiline
code completion,0.6681259025663643,0.44461038544325204,0.5182370985111238,0.26211334248671114
code documentation,0.7488967009537181,0.5402141323394967,0.8572779139113352,0.32081618097317266
code refactoring,0.8034134034777303,0.566569895911389,0.6320457851610292,0.3796136703233309
code review,0.8268441457719461,0.7813099199126774,0.8162444526926877,0.49863615863280675
code summarization,0.6951531600472955,0.7857129550019245,0.8032895322786833,0.5643676564798482
code translation,0.7542191620397228,0.5079330034437264,0.5628730895753349,0.5148715002114695
fault localization,0.7655286844926326,0.36194905241416503,0.35077060967366813,0.2725409187604586
program repair,0.7476060231514564,0.4908885716023296,0.4951725092543774,0.29100829764582664
test generation,0.7863082994933823,0.6222602149898261,0.6024228849963473,0.6106035819256638
vulnerability detection,0.7936206312709084,0.36059622218635146,0.3330140007919312,0.4252976671316949
